# Asset: AEDCNY_otc
# Updated: 2026-03-22T00:16:22.870592
# Format: timestamp,price
1774155780.0,1.81995
1774155780.0,1.82
1774155780.0,1.82
1774155780.0,1.82005
1774155780.0,1.8201
1774155780.0,1.82015
1774155780.0,1.82008
1774155780.0,1.82016
1774155780.0,1.82016
1774155780.0,1.82021
1774155780.0,1.82012
1774155780.0,1.82015
1774155780.0,1.8201
1774155780.0,1.8201
1774155780.0,1.8201
1774155780.0,1.82011
1774155780.0,1.82011
1774155780.0,1.81996
1774155780.0,1.82001
1774155780.0,1.82001
1774155780.0,1.82001
1774155780.0,1.81993
1774155780.0,1.81996
1774155780.0,1.81996
1774155780.0,1.81986
1774155780.0,1.81986
1774155780.0,1.81995
1774155780.0,1.81995
1774155780.0,1.81991
1774155780.0,1.81996
1774155780.0,1.81996
1774155780.0,1.81983
1774155780.0,1.81943
1774155780.0,1.81949
1774155780.0,1.81949
1774155780.0,1.81955
1774155780.0,1.8195
1774155780.0,1.8195
1774155780.0,1.81953
1774155780.0,1.8196
1774155780.0,1.81964
1774155780.0,1.81964
1774155780.0,1.81955
1774155780.0,1.81948
1774155780.0,1.81948
1774155780.0,1.8193
1774155780.0,1.81933
1774155780.0,1.81917
1774155780.0,1.81917
1774155780.0,1.8191
1774155780.0,1.81901
1774155780.0,1.81901
1774155780.0,1.81901
1774155840.0,1.81889
1774155840.0,1.81871
1774155840.0,1.81871
1774155840.0,1.81877
1774155840.0,1.81895
1774155840.0,1.81895
1774155840.0,1.81884
1774155840.0,1.81887
1774155840.0,1.81893
1774155840.0,1.81893
1774155840.0,1.81876
1774155840.0,1.81882
1774155840.0,1.81882
1774155840.0,1.81916
1774155840.0,1.81908
1774155840.0,1.81908
1774155840.0,1.81908
1774155840.0,1.81912
1774155840.0,1.81919
1774155840.0,1.81919
1774155840.0,1.81918
1774155840.0,1.8191
1774155840.0,1.81927
1774155840.0,1.81927
1774155840.0,1.81921
1774155840.0,1.81932
1774155840.0,1.81932
1774155840.0,1.81916
1774155840.0,1.81893
1774155840.0,1.81901
1774155840.0,1.81901
1774155840.0,1.81907
1774155840.0,1.81914
1774155840.0,1.81914
1774155840.0,1.81898
1774155840.0,1.81893
1774155840.0,1.81896
1774155840.0,1.81896
1774155840.0,1.81892
1774155840.0,1.81892
1774155840.0,1.81892
1774155840.0,1.81883
1774155840.0,1.81904
1774155840.0,1.81899
1774155840.0,1.81899
1774155840.0,1.81904
1774155840.0,1.81911
1774155840.0,1.81911
1774155840.0,1.8194
1774155840.0,1.81946
1774155840.0,1.81941
1774155840.0,1.81941
1774155840.0,1.81948
1774155840.0,1.81954
1774155840.0,1.81954
1774155840.0,1.81962
1774155840.0,1.81955
1774155840.0,1.81961
1774155840.0,1.81961
1774155840.0,1.81968
1774155840.0,1.81968
1774155840.0,1.81968
1774155840.0,1.81964
1774155840.0,1.81968
1774155840.0,1.81964
1774155840.0,1.81964
1774155840.0,1.81961
1774155840.0,1.81961
1774155840.0,1.81961
1774155840.0,1.81962
1774155840.0,1.81967
1774155840.0,1.81971
1774155840.0,1.81971
1774155840.0,1.81978
1774155840.0,1.81983
1774155840.0,1.81983
1774155840.0,1.82003
1774155840.0,1.82007
1774155840.0,1.82011
1774155840.0,1.82011
1774155840.0,1.82026
1774155840.0,1.82031
1774155840.0,1.82031
1774155840.0,1.82029
1774155840.0,1.82029
1774155840.0,1.82047
1774155840.0,1.82047
1774155840.0,1.82041
